year,city,zone,annual_precip_mm
1994,Sokoto,Sahel,474.1
1995,Abuja,Guinea Savanna,1766.1
1995,Calabar,Coastal,3557.0
1995,Ilorin,Guinea Savanna,870.9
1995,Jos,Guinea Savanna,1624.9
1995,Kano,Sahel,641.8
1995,Lagos,Coastal,1799.7
1995,Maiduguri,Sahel,481.5
1995,Port Harcourt,Coastal,2719.5
1995,Sokoto,Sahel,287.4
1996,Abuja,Guinea Savanna,1480.5
1996,Calabar,Coastal,2959.3
1996,Ilorin,Guinea Savanna,851.4
1996,Jos,Guinea Savanna,1825.0
1996,Kano,Sahel,515.2
1996,Lagos,Coastal,1991.1
1996,Maiduguri,Sahel,458.0
1996,Port Harcourt,Coastal,2485.8
1996,Sokoto,Sahel,296.4
1997,Abuja,Guinea Savanna,1637.2
1997,Calabar,Coastal,3096.5
1997,Ilorin,Guinea Savanna,809.7
1997,Jos,Guinea Savanna,1901.3
1997,Kano,Sahel,576.2
1997,Lagos,Coastal,1569.6
1997,Maiduguri,Sahel,405.6
1997,Port Harcourt,Coastal,2534.4
1997,Sokoto,Sahel,289.1
1998,Abuja,Guinea Savanna,1589.3
1998,Calabar,Coastal,2812.1
1998,Ilorin,Guinea Savanna,854.0
1998,Jos,Guinea Savanna,1685.1
1998,Kano,Sahel,765.8
1998,Lagos,Coastal,1447.5
1998,Maiduguri,Sahel,527.0
1998,Port Harcourt,Coastal,2216.8
1998,Sokoto,Sahel,483.6
1999,Abuja,Guinea Savanna,1465.5
1999,Calabar,Coastal,3317.5
1999,Ilorin,Guinea Savanna,913.9
1999,Jos,Guinea Savanna,1717.8
1999,Kano,Sahel,757.7
1999,Lagos,Coastal,1956.0
1999,Maiduguri,Sahel,572.0
1999,Port Harcourt,Coastal,2740.8
1999,Sokoto,Sahel,429.2
2000,Abuja,Guinea Savanna,1410.4
2000,Calabar,Coastal,2934.3
2000,Ilorin,Guinea Savanna,877.8
2000,Jos,Guinea Savanna,1706.3
2000,Kano,Sahel,570.9
2000,Lagos,Coastal,1637.0
2000,Maiduguri,Sahel,411.1
2000,Port Harcourt,Coastal,2407.1
2000,Sokoto,Sahel,311.9
2001,Abuja,Guinea Savanna,1180.8
2001,Calabar,Coastal,2770.7
2001,Ilorin,Guinea Savanna,579.3
2001,Jos,Guinea Savanna,1716.6
2001,Kano,Sahel,729.1
2001,Lagos,Coastal,1464.2
2001,Maiduguri,Sahel,390.6
2001,Port Harcourt,Coastal,2339.4
2001,Sokoto,Sahel,328.2
2002,Abuja,Guinea Savanna,1376.3
2002,Calabar,Coastal,3328.8
2002,Ilorin,Guinea Savanna,931.8
2002,Jos,Guinea Savanna,1779.6
2002,Kano,Sahel,495.59999999999997
