year,month,zone,monthly_precip_mm
1969,4,Guinea Savanna,110.33333333333333
1969,4,Sahel,8.633333333333331
1969,5,Coastal,300.1333333333333
1969,5,Guinea Savanna,128.5
1969,5,Sahel,14.333333333333334
1969,6,Coastal,362.93333333333334
1969,6,Guinea Savanna,173.53333333333333
1969,6,Sahel,48.43333333333334
1969,7,Coastal,288.40000000000003
1969,7,Guinea Savanna,290.23333333333335
1969,7,Sahel,175.33333333333334
1969,8,Coastal,264.43333333333334
1969,8,Guinea Savanna,267.09999999999997
1969,8,Sahel,229.46666666666667
1969,9,Coastal,305.40000000000003
1969,9,Guinea Savanna,228.0333333333333
1969,9,Sahel,100.93333333333334
1969,10,Coastal,316.0333333333333
1969,10,Guinea Savanna,167.63333333333333
1969,10,Sahel,81.96666666666667
1969,11,Coastal,184.83333333333334
1969,11,Guinea Savanna,38.1
1969,11,Sahel,1.7666666666666666
1969,12,Coastal,98.89999999999999
1969,12,Guinea Savanna,0.09999999999999999
1969,12,Sahel,0.0
1970,1,Coastal,101.56666666666666
1970,1,Guinea Savanna,4.3
1970,1,Sahel,0.0
1970,2,Coastal,85.36666666666667
1970,2,Guinea Savanna,0.3666666666666667
1970,2,Sahel,0.0
1970,3,Coastal,180.03333333333333
1970,3,Guinea Savanna,46.73333333333334
1970,3,Sahel,0.16666666666666666
1970,4,Coastal,306.6666666666667
1970,4,Guinea Savanna,60.900000000000006
1970,4,Sahel,0.20000000000000004
1970,5,Coastal,310.8666666666667
1970,5,Guinea Savanna,228.9333333333333
1970,5,Sahel,43.76666666666667
1970,6,Coastal,327.76666666666665
1970,6,Guinea Savanna,192.5666666666667
1970,6,Sahel,33.13333333333333
1970,7,Coastal,317.56666666666666
1970,7,Guinea Savanna,227.86666666666665
1970,7,Sahel,138.86666666666667
1970,8,Coastal,188.16666666666666
1970,8,Guinea Savanna,237.70000000000002
1970,8,Sahel,232.53333333333333
1970,9,Coastal,247.5
1970,9,Guinea Savanna,244.0
1970,9,Sahel,89.3
1970,10,Coastal,294.7
1970,10,Guinea Savanna,67.33333333333333
1970,10,Sahel,3.766666666666667
1970,11,Coastal,173.83333333333334
1970,11,Guinea Savanna,0.4666666666666666
1970,11,Sahel,0.0
1970,12,Coastal,49.06666666666667
1970,12,Guinea Savanna,0.03333333333333333
